max_fare,PU_zone_name_max,DO_zone_name_max,min_fare,PU_zone_name_min,DO_zone_name_min,sum_fares,num_ccs,num_cash,day_avgs,source,month,year,url,filename
2008.3,Clinton Hill,Midwood,2.5,Kingsbridge Heights,Kingsbridge Heights,113803298.78000017,4162413,1741407,"[19.59628479074563, 18.99083988121565, 19.08849784970986, 19.678836764234983, 19.576075788835137, 18.510621852765034, 19.43606990605143]",yellow,08,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2019-08.csv,yellow-2019-08.csv
3012.8,Times Sq/Theatre District,Yorkville West,2.5,Kensington,East New York/Pennsylvania Avenue,125379827.43000008,4670564,1725424,"[19.89422648798351, 19.77156053984351, 19.697114542005828, 19.959796621800926, 19.89462640457205, 18.455362931190493, 19.499804464488996]",yellow,09,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2019-09.csv,yellow-2019-09.csv
2155.8,Randalls Island,Randalls Island,2.63,Port Richmond,Yorkville East,136720533.8100001,5158100,1866929,"[19.522141894825914, 19.178042702942523, 19.534109638174805, 19.904177081633314, 19.943193431340294, 18.476456347382147, 19.561208049544973]",yellow,10,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2019-10.csv,yellow-2019-10.csv
2254.3,Randalls Island,Randalls Island,2.5,Midwood,Midwood,128125520.08999994,4924153,1773210,"[19.499831361875092, 19.37357014962915, 19.404455651518823, 19.634123735641563, 19.227616461196245, 18.096053225543827, 18.946824212641843]",yellow,11,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2019-11.csv,yellow-2019-11.csv
6015.8,Upper West Side South,Lincoln Square East,2.5,Lincoln Square East,Rosedale,129335245.58000013,4820500,1885915,"[19.38524677707702, 18.88433256087379, 19.505744431757908, 19.95244798569575, 19.646446555207394, 18.4282983191657, 19.203948940679297]",yellow,12,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2019-12.csv,yellow-2019-12.csv
3006.8,Long Island City/Queens Plaza,Greenwich Village North,2.55,Gravesend,East Williamsburg,130663479.2999999,5983164,2539107,"[15.725212626608725, 15.470622026610108, 15.347536799012879, 15.61750172357693, 15.530835467439523, 14.54532340729235, 15.018148378133857]",yellow,01,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-01.csv,yellow-2018-01.csv
2759.37,Little Italy/NoLiTa,Little Italy/NoLiTa,2.5,Kensington,Kensington,126993169.74000005,5882809,2396048,"[15.612153098889284, 15.586165383405657, 15.652516671133071, 15.735426175975885, 15.53146905903369, 14.260067788940255, 14.95365789486539]",yellow,02,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-02.csv,yellow-2018-02.csv
4026.3,East Concourse/Concourse Village,Lenox Hill West,2.5,Melrose South,Westchester Village/Unionport,144637823.25999996,6434237,2743703,"[16.09647058184632, 16.034727137543996, 14.908481938702504, 16.291323738939983, 15.920580236658612, 15.026174432845503, 15.943527258135479]",yellow,03,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-03.csv,yellow-2018-03.csv
4023.8,Manhattanville,Westchester Village/Unionport,2.5,Co-Op City,Co-Op City,146336642.51999998,6351198,2715467,"[16.301313542488238, 16.108400950703274, 16.34628097609633, 16.69033132017889, 16.46480301235559, 15.099690313687303, 15.954093702835927]",yellow,04,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-04.csv,yellow-2018-04.csv
1006.55,Central Harlem North,Jamaica Bay,2.5,Port Richmond,Port Richmond,149639238.12000006,6287155,2718695,"[16.796879674497262, 16.689044759157202, 17.065294835045318, 17.17191784556201, 16.946736320320145, 15.176114252008341, 16.056611055561792]",yellow,05,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-05.csv,yellow-2018-05.csv
