max_fare,PU_zone_name_max,DO_zone_name_max,min_fare,PU_zone_name_min,DO_zone_name_min,sum_fares,num_ccs,num_cash,day_avgs,source,month,year,url,filename
500.3,Forest Park/Highland Park,Forest Park/Highland Park,2.5,Forest Park/Highland Park,Kew Gardens Hills,5366244.000000002,189941,164711,"[14.8979758147387, 15.006422729303415, 15.32822430126785, 15.376186226325856, 15.295881670533648, 15.171347526285107, 14.911036373199549]",green,12,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2019-12.csv,green-2019-12.csv
2126.8,Randalls Island,Randalls Island,2.5,Parkchester,Fresh Meadows,11000793.889999999,422157,363056,"[14.19269290351778, 14.03334345638404, 14.210640419177855, 14.269597617380727, 14.032054937590221, 13.667494649035984, 13.64468902297517]",green,01,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-01.csv,green-2018-01.csv
2626.3,Randalls Island,Randalls Island,2.5,Long Island City/Queens Plaza,Long Island City/Queens Plaza,10798477.159999998,419432,343023,"[14.190382262525322, 14.489500186535183, 14.45737150086984, 14.382966669923006, 14.089673846642073, 13.786901346711156, 13.790106113415177]",green,02,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-02.csv,green-2018-02.csv
1235.8,Ridgewood,Homecrest,2.5,Pelham Bay,Pelham Bay,12355556.000000004,460451,367982,"[15.115433770104952, 15.28734584372079, 14.617769606963929, 14.912132446500868, 15.04274596433847, 14.670680474326655, 14.772121260391259]",green,03,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-03.csv,green-2018-03.csv
10528.75,College Point,Union Sq,2.5,East Harlem South,East Harlem South,12258159.309999999,450291,341177,"[15.41484583939583, 15.61855863053922, 15.880774135503053, 15.887657400960169, 15.685829637559264, 15.131834957274078, 14.940540144700197]",green,04,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-04.csv,green-2018-04.csv
2126.69,Bloomfield/Emerson Hill,Hudson Sq,2.5,Parkchester,Parkchester,12694535.660000002,450936,337321,"[15.917031307255408, 16.41587407734013, 16.637085775848416, 16.593008031095916, 16.366638361992557, 15.16146304820635, 15.293613263126097]",green,05,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-05.csv,green-2018-05.csv
2113.8,Randalls Island,Randalls Island,2.5,West Brighton,West Brighton,11880065.350000003,415497,315509,"[16.29911587743733, 16.76656925736278, 16.736544132917967, 16.558817003304068, 16.403897272537034, 15.49242647280398, 15.735933133137479]",green,06,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-06.csv,green-2018-06.csv
684.3,Jamaica Estates,Jamaica Estates,2.5,Brighton Beach,Brighton Beach,10847579.610000001,379808,297027,"[16.09105243086792, 16.304592966232313, 16.447561429043187, 16.435422248235806, 16.230143929912394, 15.420395337311833, 15.359294790467084]",green,07,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-07.csv,green-2018-07.csv
2872.8,Randalls Island,Randalls Island,2.5,World Trade Center,World Trade Center,10670347.490000002,371667,287315,"[16.267249299354756, 16.463864103354396, 16.603165218054286, 16.571624064268764, 16.38163970233409, 15.345461083048182, 15.489491204533772]",green,08,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-08.csv,green-2018-08.csv
8013.3,Forest Park/Highland Park,Corona,2.5,Long Island City/Queens Plaza,Long Island City/Queens Plaza,10974711.290000005,386941,272593,"[16.293887691539414, 16.683497028883156, 17.004902123877674, 17.262184637902646, 16.965920937219597, 16.1663522631431, 16.221619142373896]",green,09,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-09.csv,green-2018-09.csv
900.0,Long Island City/Queens Plaza,Long Island City/Queens Plaza,2.5,Central Harlem North,Central Park,11791227.690000005,428373,275035,"[16.696561949298548, 17.19614522988927, 17.15472781277655, 17.12925237436415, 17.029242070642916, 15.833115970922922, 16.083085558215927]",green,10,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-10.csv,green-2018-10.csv
585.3,Middle Village,Soundview/Castle Hill,2.5,Central Park,Central Park,10899066.75,398550,251687,"[16.957837080713432, 17.169830103623912, 17.28863581829989, 17.53351819806531, 16.580557353903377, 15.699004688446859, 15.982851186027302]",green,11,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-11.csv,green-2018-11.csv
500.0,Ozone Park,Ozone Park,2.5,East New York,East New York,11139661.080000002,405272,273019,"[16.373989650050614, 17.100335054761373, 16.932305429136207, 16.992199886840393, 16.569840040220807, 15.65367067214251, 15.69404110945497]",green,12,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-12.csv,green-2018-12.csv
621.3,Morrisania/Melrose,Randalls Island,2.5,Central Harlem,Central Harlem,14405591.740000004,527447,530132,"[13.32120981486721, 13.369750888550398, 13.603464504584398, 13.7523655803055, 13.669235074744597, 13.652080975047062, 13.933044250289825]",green,01,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-01.csv,green-2017-01.csv
