source,month,year,url,filename
fhvhv,12,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2019-12.csv,fhvhv-2019-12.csv
yellow,01,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-01.csv,yellow-2018-01.csv
green,01,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-01.csv,green-2018-01.csv
fhv,01,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-01.csv,fhv-2018-01.csv
yellow,02,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-02.csv,yellow-2018-02.csv
green,02,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-02.csv,green-2018-02.csv
fhv,02,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-02.csv,fhv-2018-02.csv
yellow,03,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-03.csv,yellow-2018-03.csv
green,03,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-03.csv,green-2018-03.csv
fhv,03,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-03.csv,fhv-2018-03.csv
yellow,04,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-04.csv,yellow-2018-04.csv
green,04,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-04.csv,green-2018-04.csv
fhv,04,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-04.csv,fhv-2018-04.csv
yellow,05,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-05.csv,yellow-2018-05.csv
green,05,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-05.csv,green-2018-05.csv
fhv,05,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-05.csv,fhv-2018-05.csv
yellow,06,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-06.csv,yellow-2018-06.csv
green,06,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-06.csv,green-2018-06.csv
fhv,06,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-06.csv,fhv-2018-06.csv
